gc,height,id,one_day,pcs_rank,rider_name,sprint,time_trial,uci_rank,weight
6203,1.86,1,223,5.0,FROOME CHRISTOPHER,289,1997,5.0,69.0
2868,1.69,2,1332,44.0,HENAO SERGIO LUIS,362,298,33.0,61.0
1442,1.82,3,349,112.0,KIRYIENKA VASIL,110,2604,149.0,69.0
1122,1.94,4,809,594.0,KNEES CHRISTIAN,433,310,2071.0,81.0
2014,1.76,5,2989,17.0,KWIATKOWSKI MICHAL,1159,1233,16.0,68.0
1318,1.73,6,342,101.0,LANDA MIKEL,136,165,128.0,60.0
2440,1.73,7,519,202.0,NIEVE MIKEL,78,80,295.0,62.0
295,1.85,8,903,180.0,ROWE LUKE,597,208,172.0,72.0
2672,1.83,9,1161,42.0,THOMAS GERAINT,518,1341,66.0,71.0
3133,1.84,10,1379,13.0,BARDET ROMAIN,587,147,13.0,65.0
2213,1.77,11,1541,141.0,BAKELANTS JAN,586,215,167.0,67.0
170,1.79,12,57,388.0,DOMONT AXEL,34,48,621.0,65.0
2285,1.76,13,357,115.0,FRANK MATHIAS,92,251,141.0,64.0
633,1.9,14,213,,GASTAUER BEN,119,132,,73.0
829,1.68,15,1187,,GAUTIER CYRIL,625,46,,64.0
922,1.8,16,308,95.0,LATOUR PIERRE,23,106,90.0,64.0
537,1.84,17,1249,21.0,NAESEN OLIVER,268,29,17.0,71.0
837,1.74,18,516,174.0,VUILLERMOZ ALEXIS,174,56,196.0,60.0
5780,1.67,19,286,4.0,QUINTANA NAIRO,202,669,3.0,59.0
1118,1.81,20,401,268.0,AMADOR ANDREY,327,717,394.0,73.0
968,1.83,21,2525,104.0,BENNATI DANIELE,4777,627,116.0,71.0
1219,1.67,22,863,582.0,BETANCUR CARLOS,102,95,1026.0,65.0
1127,1.71,23,195,43.0,CASTROVIEJO JONATHAN,177,2209,53.0,62.0
615,1.89,24,558,379.0,ERVITI IMANOL,276,435,1295.0,75.0
892,1.83,25,456,226.0,HERRADA JESúS,234,328,222.0,72.0
635,1.84,26,114,295.0,SÜTTERLIN JASHA,105,399,396.0,78.0
