id,length,stage_name,type
1,115.0,ALBERTVILLEPLATEAUDESOLAISON_2017,mountains_uphill
2,167.5,AOSTEALPEDHUEZ_2017,mountains_uphill
3,145.5,PARCDESOISEAUXVILLARSLESDOMBESLAMOTTESERVOLEX_2017,mountains_flat
4,175.0,LATOURDESALVAGNYMâCON_2017,hills_flat
5,23.5,LATOURDUPINBOURGIONJALIEU_2017,flat
6,184.0,LECHAMBONSURLIGNONTULLINS_2017,hills_flat
7,171.0,SAINTCHAMONDARLANC_2017,hills_flat
8,170.0,SAINTÉTIENNESAINTÉTIENNE_2017,hills_flat
9,18.3,LAUSANNELAUSANNE_2017,hills_flat
10,163.5,DOMDIDIERLEYSIN_2017,mountains_uphill
11,187.0,PAYERNEPAYERNE_2017,hills_flat
12,136.0,AIGLEBULLE_2017,mountains_uphill
13,173.3,AIGLECHAMPéRY_2017,mountains_uphill
14,4.8,AIGLEAIGLE_2017,flat
15,138.7,BARCELONABARCELONA_2017,hills_flat
16,189.7,TORTOSAREUS_2017,mountains_flat
17,182.0,VALLSLOPORTTORTOSA_2017,mountains_uphill
18,134.0,LASEUDURGELLIGUALADA_2017,mountains_flat
19,188.3,MATARóLAMOLINA_2017,mountains_flat
20,41.3,BANYOLESBANYOLES_2017,hills_flat
21,178.9,CALELLACALELLA_2017,mountains_flat
22,121.0,KINGLAKEKINGLAKE_2017,hills_flat
23,165.6,BENALLAMITCHELTONWINERY_2017,hills_flat
24,165.6,MTBEAUTYBEECHWORTH_2017,hills_flat
25,174.2,WANGARATTAFALLSCREEK_2017,hills_uphill
26,2.1,MELBOURNESOUTHBANKMELBOURNESOUTHBANK_2017,flat
27,104.1,LASROZASMADRID_2016,flat
28,193.2,BENIDORMALTODEAITANAESCUADRÃ³NEJÃRCITODELAIRE_2016,mountains_uphill
29,37.0,XàBIACALP_2016,flat
30,200.6,REQUENAGANDíA_2016,hills_flat
31,177.5,CASTELLÃ³NLLUCENACAMINSDELPENYGOLOSA_2016,mountains_uphill
32,156.4,ALCAÃIZPEÃÃSCOLA_2016,hills_flat
33,118.5,SABIÃÃNIGOSALLENTDEGÃLLEGOARAMONFORMIGAL_2016,mountains_uphill
34,196.0,URDATXDANTXARINEAAUBISQUE_2016,mountains_uphill
35,213.4,BILBAOURDAXDANTXARINEA_2016,hills_flat
36,193.2,LOSCORRALESDEBUELNABILBAO_2016,hills_flat
37,168.6,COLUNGAMUSEOJURÃSICOPENACABARGA_2016,mountains_uphill
38,188.7,LUGONESLAGOSDECOVADONGA_2016,mountains_uphill
39,164.5,CISTIERNAOVIEDOALTODELNARANCO_2016,hills_uphill
40,181.5,VILLALPANDOLACAMPERONAVALLEDESABERO_2016,mountains_uphill
41,158.5,MACEDAPUEBLADESANABRIA_2016,hills_flat
42,163.2,MONFORTEDELEMOSLUINTRARIBERASACRA_2016,hills_flat
43,171.3,VIVEIROLUGO_2016,hills_flat
44,163.5,BETANZOSSANANDRÃSDETEIXIDO_2016,hills_uphill
45,176.4,MARÃNDUMBRÃAMIRADORDEÃZARO_2016,hills_uphill
46,160.8,OURENSEBAIONA_2016,hills_flat
47,27.8,BALNEARIOLAIASPARQUENáUTICODECASTRELODEMIñO_2016,flat
48,113.0,CHANTILLYPARIS_2016,flat
49,146.5,MEGÃVEMORZINE_2016,mountains_flat
50,146.0,ALBERTVILLESAINTGERVAISMONTBLANC_2016,mountains_uphill
51,17.0,SALLANCHESMEGèVE_2016,mountains_uphill
52,184.5,BERNEFINHAUTEMOSSON_2016,mountains_uphill
53,209.0,MOIRANSENMONTAGNEBERNE_2016,hills_flat
54,159.0,BOURGENBRESSECULOZ_2016,mountains_flat
55,208.5,MONTÃLIMARVILLARSLESDOMBESPARCDESOISEAUX_2016,hills_flat
56,37.5,BOURGSAINTANDEOLLECAVERNEDEPONTDARC_2016,hills_uphill
57,178.0,MONTPELLIERCHALETREYNARDMONTVENTOUX_2016,mountains_uphill
58,162.5,CARCASSONNEMONTPELLIER_2016,hills_flat
59,197.0,ESCALDESENGORDANYREVEL_2016,mountains_flat
60,184.0,VIELHAVALDARANANDORRAARCALIS_2016,mountains_uphill
61,184.0,PAUBAGNèRESDELUCHON_2016,mountains_flat
62,162.5,LISLEJOURDAINLACDEPAYOLLE_2016,mountains_flat
63,190.5,ARPAJONSURCÃREMONTAUBAN_2016,hills_flat
64,216.0,LIMOGESLELIORAN_2016,mountains_flat
65,237.5,SAUMURLIMOGES_2016,hills_flat
66,223.5,GRANVILLEANGERS_2016,hills_flat
67,183.0,SAINTLôCHERBOURG_2016,hills_uphill
68,188.0,MONTSAINTMICHELUTAHBEACHSAINTEMARIEDUMONT_2016,hills_flat
69,151.0,LEPONTSUPERDéVOLUY_2016,hills_uphill
70,141.0,LAROCHETTEMéRIBEL_2016,mountains_uphill
71,140.0,LARAVOIREVAUJANY_2016,mountains_uphill
72,176.0,TAINLHERMITAGEBELLEY_2016,hills_uphill
73,187.5,BOëNSURLIGNONTOURNON_2016,hills_flat
74,168.0,CRêCHESSURSAôNECHALMAZALJEANSAGNIèRE_2016,hills_uphill
75,186.0,CLUSESSAINTVULBAS_2016,hills_flat
76,4.0,LESGETSLESGETS_2016,mountains_uphill
77,177.4,OLLONGENèVE_2016,hills_flat
78,172.7,CONTHEYVILLARSSOLLON_2016,mountains_uphill
79,15.11,SIONSION_2016,hills_flat
80,173.9,MOUDONMORGINS_2016,mountains_uphill
81,100.5,MATHODMOUDON_2016,hills_flat
82,3.95,LACHAUXDEFONDSLACHAUXDEFONDS_2016,hills_flat
83,136.4,BARCELONABARCELONA_2016,hills_flat
84,197.2,SANTJOANDESPIVILANOVAILAGELTRU_2016,hills_flat
85,187.2,RIALPVALLS_2016,hills_flat
86,172.2,BAGÃPORTAINÃ_2016,mountains_uphill
87,172.1,GIRONALAMOLINA_2016,mountains_uphill
88,178.7,MATARóOLOT_2016,hills_flat
89,175.8,CALELLACALELLA_2016,hills_flat
90,122.0,ARTHURSSEATARTHURSSEAT_2016,hills_uphill
91,146.2,TRARALGONINVERLOCH_2016,hills_flat
92,144.0,YARRAGLENMOE_2016,hills_flat
93,126.0,HEALESVILLEHEALESVILLE_2016,hills_flat
94,2.1,MELBOURNEMELBOURNE_2016,flat
95,154.8,GERSSAINTMICHELNOGARO_2017,hills_flat
96,167.0,SAINTGAUDENSGAVARNIEGèDRE_2017,mountains_uphill
97,173.8,ESPACELOISIRSSORETAGOUTSARAMON_2017,hills_flat
